Statistical profiling result from wlog.log, (8360 ticks, 8 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Function: ^expressInit /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/middleware/init.js:29:30
      1    0.0%    0.0%  Function: ^exports.shallowCopyFromList /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/utils.js:145:40
      1    0.0%    0.0%  Function: ^exports.renderFile /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:441:31
      1    0.0%    0.0%  Function: ^existsSync node:fs:290:20
      1    0.0%    0.0%  Function: ^execute /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/operations/find.js:30:12
      1    0.0%    0.0%  Function: ^equals /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/sdam/server_description.js:118:11
      1    0.0%    0.0%  Function: ^end /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express-session/index.js:250:27
      1    0.0%    0.0%  Function: ^emit node:events:475:44
      1    0.0%    0.0%  Function: ^deserialize /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bson/lib/bson.js:175:21
      1    0.0%    0.0%  Function: ^debug /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/send/node_modules/debug/src/debug.js:65:17
      1    0.0%    0.0%  Function: ^debug /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/debug/src/common.js:66:17
      1    0.0%    0.0%  Function: ^createHmac node:crypto:161:20
      1    0.0%    0.0%  Function: ^configForCategory /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/log4js/lib/categories.js:173:27
      1    0.0%    0.0%  Function: ^concat node:buffer:536:32
      1    0.0%    0.0%  Function: ^compression /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/compression/index.js:59:31
      1    0.0%    0.0%  Function: ^authenticate /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/passport/lib/middleware/authenticate.js:94:31
      1    0.0%    0.0%  Function: ^attempt /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/passport/lib/middleware/authenticate.js:180:22
      1    0.0%    0.0%  Function: ^asString /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/date-format/lib/index.js:29:18
      1    0.0%    0.0%  Function: ^append node:internal/linkedlist:30:16
      1    0.0%    0.0%  Function: ^alignPool node:buffer:159:19
      1    0.0%    0.0%  Function: ^adjustOffset node:buffer:1099:22
      1    0.0%    0.0%  Function: ^addChunk node:internal/streams/readable:304:18
      1    0.0%    0.0%  Function: ^_storeHeader node:_http_outgoing:374:22
      1    0.0%    0.0%  Function: ^_copyActual node:buffer:243:21
      1    0.0%    0.0%  Function: ^_addHeaderLines node:_http_incoming:199:25
      1    0.0%    0.0%  Function: ^__append :8:20
      1    0.0%    0.0%  Function: ^Writable.write node:internal/streams/writable:333:36
      1    0.0%    0.0%  Function: ^Timeout node:internal/timers:167:17
      1    0.0%    0.0%  Function: ^Session /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express-session/session/session.js:24:17
