Statistical profiling result from wlog.log, (8360 ticks, 8 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1  100.0%        Function: ^copy node:buffer:775:16
      1  100.0%          LazyCompile: ~serialize /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bson/lib/bson.js:124:19
      1  100.0%            LazyCompile: ~serializeBson /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/commands.js:531:18
      1    1.7%      LazyCompile: ~SchemaType /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongoose/lib/schematype.js:42:20
      1  100.0%        LazyCompile: ~SchemaString /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongoose/lib/schema/string.js:25:22
      1  100.0%          LazyCompile: ~Schema.interpretAsType /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongoose/lib/schema.js:1074:44
      1  100.0%            LazyCompile: ~Schema.path /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongoose/lib/schema.js:809:33
      1    1.7%      LazyCompile: ~DTRACE_HTTP_SERVER_RESPONSE node:internal/dtrace:9:33
      1  100.0%        LazyCompile: ~_finish node:_http_server:204:52
      1  100.0%          LazyCompile: ~end node:_http_outgoing:833:45
      1  100.0%            LazyCompile: ~end /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/compression/index.js:92:28
      1    1.7%      LazyCompile: ~ConnectionString /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb-connection-string-url/lib/index.js:82:16
      1  100.0%        LazyCompile: ~parseOptions /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/connection_string.js:204:22
      1  100.0%          LazyCompile: ~MongoClient /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/mongo_client.js:60:16
      1  100.0%            LazyCompile: ~<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongoose/lib/connection.js:793:31
      1    1.7%      LazyCompile: *serializeInto /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bson/lib/parser/serializer.js:553:23
      1  100.0%        Function: ^serialize /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bson/lib/bson.js:124:19
      1  100.0%          Function: ^serializeBson /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/commands.js:531:18
      1  100.0%            Function: ^makeDocumentSegment /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/commands.js:523:24
      1    1.7%      LazyCompile: *next /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/router/index.js:177:16
      1  100.0%        Function: ^handle /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/router/index.js:136:31
      1  100.0%          Function: ^router /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/router/index.js:46:18
      1  100.0%            Function: ^handle /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/router/layer.js:86:49
      1    1.7%      Function: ^setRequestTimeout node:_http_server:767:27
      1    1.7%      Function: ^processCiphers node:internal/tls/secure-context:91:24
      1  100.0%        LazyCompile: ~configSecureContext node:internal/tls/secure-context:120:29
      1  100.0%          Function: ^createSecureContext node:_tls_common:99:29
      1  100.0%            Function: ^connect node:_tls_wrap:1599:35
      1    1.7%      Function: ^makeFindCommand /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/operations/find.js:55:25
      1  100.0%        LazyCompile: *<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/operations/execute_operation.js:145:61
      1  100.0%          Function: ^processWaitQueue /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/sdam/topology.js:574:26
      1  100.0%            Function: ^selectServer /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/sdam/topology.js:267:17
      1    1.7%      Function: ^getHeader node:_http_outgoing:590:57
      1  100.0%        Function: ^shouldCompress /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/compression/index.js:254:25
      1  100.0%          Function: ^onResponseHeaders /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/compression/index.js:140:47
      1  100.0%            Function: ^writeHead /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/on-headers/index.js:28:29
      1    1.7%      Function: ^get serverSession /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/sessions.js:85:22
      1  100.0%        Function: ^applySession /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/sessions.js:664:22
      1  100.0%          LazyCompile: *command /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connection.js:254:12
      1  100.0%            Function: ^<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/sdam/server.js:204:42
      1    1.7%      Function: ^exports.renderFile /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/ejs/lib/ejs.js:441:31
      1  100.0%        Function: ^render /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/view.js:133:40
      1  100.0%          Function: ^tryRender /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/application.js:655:19
      1  100.0%            Function: ^render /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express/lib/application.js:548:29
      1    1.7%      Function: ^clone /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/sessions.js:562:17
      1  100.0%        Function: ^completeEndSession /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/sessions.js:138:40
      1  100.0%          Function: ^<anonymous> /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/sessions.js:133:52
      1  100.0%            LazyCompile: *maybePromise /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/utils.js:398:22
      8    5.1%    LazyCompile: *writeOrBuffer node:internal/streams/writable:365:23
      8  100.0%      LazyCompile: *_write node:internal/streams/writable:283:16
      8  100.0%        Function: ^Writable.write node:internal/streams/writable:333:36
      6   75.0%          Function: ^ondata node:internal/streams/readable:752:18
      4   66.7%            LazyCompile: *readableAddChunk node:internal/streams/readable:236:26
      2   33.3%            LazyCompile: *emit node:events:475:44
      2   25.0%          Function: ^value node:internal/console/constructor:258:20
      2  100.0%            Function: ^log node:internal/console/constructor:359:6
      2    1.3%    LazyCompile: *realpathSync node:fs:2425:22
      2  100.0%      Function: ^toRealPath node:internal/modules/cjs/loader:393:20
      2  100.0%        Function: ^tryFile node:internal/modules/cjs/loader:384:17
      1   50.0%          Function: ^tryPackage node:internal/modules/cjs/loader:338:20
      1  100.0%            Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      1   50.0%          Function: ^tryExtensions node:internal/modules/cjs/loader:400:23
      1  100.0%            Function: ^Module._findPath node:internal/modules/cjs/loader:494:28

